Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-28 00:00:00+00:00,87799.34375,87986.890625,87394.953125,87835.8359375,15156557929,0.0,0.0
2025-12-29 00:00:00+00:00,87835.7890625,90299.15625,86717.9140625,87138.140625,48411625849,0.0,0.0
2025-12-30 00:00:00+00:00,87134.3515625,89297.9375,86735.546875,88430.1328125,35586356225,0.0,0.0
2025-12-31 00:00:00+00:00,88429.5859375,89080.2890625,87130.5625,87508.828125,33830210616,0.0,0.0
2026-01-01 00:00:00+00:00,87508.046875,88803.2265625,87399.40625,88731.984375,18849043990,0.0,0.0
2026-01-02 00:00:00+00:00,88733.0625,90884.4609375,88298.6171875,89944.6953125,46398906171,0.0,0.0
2026-01-03 00:00:00+00:00,89945.0546875,90679.5703125,89328.0703125,90603.1875,20774828592,0.0,0.0
2026-01-04 00:00:00+00:00,90603.0,91712.5859375,90595.1015625,91413.4921875,26770491368,0.0,0.0
2026-01-05 00:00:00+00:00,91414.625,94762.0703125,91414.625,93882.5546875,53376407252,0.0,0.0
2026-01-06 00:00:00+00:00,93876.9453125,94395.296875,91286.546875,93729.03125,52430605257,0.0,0.0
2026-01-07 00:00:00+00:00,93727.46875,93738.7890625,90601.8046875,91308.0546875,43461295053,0.0,0.0
2026-01-08 00:00:00+00:00,91309.640625,91485.8515625,89233.875,91027.125,42386697030,0.0,0.0
2026-01-09 00:00:00+00:00,91026.2734375,91910.671875,89625.3828125,90513.1015625,38305906684,0.0,0.0
2026-01-10 00:00:00+00:00,90510.1015625,90713.03125,90283.3984375,90386.6484375,12385895282,0.0,0.0
2026-01-11 00:00:00+00:00,90385.359375,91155.2265625,90212.0234375,90827.4609375,17165568977,0.0,0.0
2026-01-12 00:00:00+00:00,90825.859375,92395.5234375,90055.0234375,91192.9921875,41346275358,0.0,0.0
2026-01-13 00:00:00+00:00,91185.3359375,96011.625,90941.9296875,95321.78125,54980674354,0.0,0.0
2026-01-14 00:00:00+00:00,95322.90625,97860.6015625,94583.046875,96929.328125,60592490863,0.0,0.0
2026-01-15 00:00:00+00:00,96931.2890625,97150.171875,95103.2421875,95551.1875,53086363027,0.0,0.0
2026-01-16 00:00:00+00:00,95554.1015625,95801.890625,94259.2734375,95525.1171875,33248170537,0.0,0.0
2026-01-17 00:00:00+00:00,95525.15625,95598.4765625,95005.6171875,95099.921875,16021715122,0.0,0.0
2026-01-18 00:00:00+00:00,95101.1796875,95491.5078125,93588.8671875,93634.4296875,20809781232,0.0,0.0
2026-01-19 00:00:00+00:00,93655.671875,93660.828125,92089.25,92553.59375,39195241508,0.0,0.0
2026-01-20 00:00:00+00:00,92553.6015625,92798.4296875,87814.9296875,88310.90625,53072968031,0.0,0.0
2026-01-21 00:00:00+00:00,88326.5078125,90430.40625,87231.5703125,89376.9609375,56330422434,0.0,0.0
2026-01-22 00:00:00+00:00,89378.5234375,90258.9609375,88438.4453125,89462.453125,35549685694,0.0,0.0
2026-01-23 00:00:00+00:00,89462.046875,91100.25,88486.359375,89503.875,38997586037,0.0,0.0
2026-01-24 00:00:00+00:00,89506.1484375,89811.609375,89044.2890625,89110.734375,14558687712,0.0,0.0
2026-01-25 00:00:00+00:00,89104.765625,89193.1484375,86003.7109375,86572.21875,36124986722,0.0,0.0
2026-01-26 00:00:00+00:00,86566.5234375,88743.0703125,86429.2890625,88267.140625,45329286974,0.0,0.0
2026-01-27 00:00:00+00:00,88257.4765625,89427.125,87228.921875,89102.5703125,38744942267,0.0,0.0
2026-01-28 00:00:00+00:00,89129.90625,90284.203125,88743.3046875,89252.3515625,42908913664,0.0,0.0
